iter	Passed	Remaining
616	11863	7364
617	11884	7346
618	11891	7319
619	11912	7301
620	11933	7283
621	11956	7266
622	11969	7243
623	11986	7222
624	12005	7203
625	12026	7185
626	12047	7167
627	12068	7148
628	12081	7126
629	12104	7109
630	12125	7091
631	12146	7072
632	12167	7054
633	12188	7036
634	12207	7017
635	12228	6998
636	12249	6980
637	12270	6962
638	12294	6945
639	12313	6926
640	12319	6899
641	12341	6882
642	12356	6860
643	12366	6836
644	12387	6818
645	12407	6799
646	12433	6783
647	12457	6766
648	12478	6748
649	12501	6731
650	12520	6712
651	12546	6696
652	12565	6677
653	12574	6652
654	12597	6635
655	12617	6616
656	12630	6593
657	12650	6574
658	12671	6556
659	12692	6538
660	12715	6521
661	12735	6502
662	12743	6477
663	12765	6459
664	12787	6441
665	12811	6424
666	12830	6405
667	12850	6386
668	12874	6369
669	12884	6346
670	12906	6328
671	12930	6311
672	12953	6293
673	12962	6269
674	12978	6248
675	12987	6224
676	13009	6207
677	13031	6188
678	13039	6164
679	13060	6145
680	13079	6127
681	13102	6109
682	13126	6092
683	13142	6071
684	13151	6047
685	13174	6030
686	13196	6012
687	13216	5993
688	13229	5971
689	13249	5952
690	13257	5928
691	13280	5911
692	13301	5892
693	13322	5874
694	13346	5857
695	13368	5839
696	13377	5815
697	13400	5797
698	13417	5777
699	13433	5757
700	13456	5739
701	13469	5717
702	13481	5695
703	13503	5677
704	13522	5658
705	13533	5635
706	13556	5618
707	13576	5599
708	13598	5581
709	13612	5560
710	13625	5538
711	13647	5520
712	13659	5498
713	13681	5480
714	13688	5456
715	13700	5434
716	13721	5415
717	13731	5393
718	13758	5377
719	13781	5359
720	13788	5335
721	13810	5317
722	13818	5294
723	13837	5275
724	13859	5257
725	13880	5238
726	13901	5220
727	13913	5198
728	13934	5180
729	13955	5161
730	13975	5142
731	13996	5124
732	14018	5106
733	14040	5088
734	14061	5069
735	14071	5047
736	14092	5028
737	14114	5010
738	14133	4991
739	14155	4973
740	14177	4955
741	14199	4937
742	14218	4918
743	14238	4899
